Name,CAS no,"Origin (company, synthesis method)",Shape,Initial coating/functionalization,"Diameter, nm","Length, nm",Possible impurities,"Surface area, BET (m2/g)",Other observations,Media,"Method to
measure the size (DLS, NTA)","Size of nanomaterial in the test, nm",Dissolution (if applicable) of nanomaterial in the test,Zeta potential of nanomaterial in the test,"Type of test organism (selection: bacteria, algae, crustacean, protozoa, fish, earthworm, other)",Test organism,Test media,Test duration (h or days),"Test temperature, other important conditions",Illumination,Test endpoint,Toxicity measure,Toxicity value,Other observations,Specific mechanisms of toxicity,"Accumulation in cells, tissues and organs",Authors,Title,Journal,Vol,Issue,Start page,End page,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWCNT,308068-56-6,Helix Material Solutions,rods,no,,,"Si, Fe, Co, Mo, Ni",,,well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3),SEM,48 +/-11,,,amphipod,Hyalella azteca,"well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3), some sand in the vessel",14 d,23 °C,16-h/8-h light/dark cycle,survival,EC97,1000 mg/L,,,CNTs were covering the surface of organisms; also were ingested,"Mwangi, J. H., Wang, N., Ingersoll, C. G., Hardesty, D. K., Brunson, E. L., Li, H., Deng, B.",Toxicity of carbon nanotubes to freshwater aquatic invertebrates,Environmental Toxicology and Chemistry,8,,1823,1830,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWCNT,308068-56-6,Helix Material Solutions,rods,no,,,"Fe (10%), Co (2.5%), Mo (0.6%), Ni (0.5%)",,,well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3),SEM,48 +/-11,,,midge,Chironomus dilutus,"well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3), some sand in the vessel",14 d,23 °C,16-h/8-h light/dark cycle,survival,EC40,1000 mg/L,,,CNTs were covering the surface of organisms; also were ingested,"Mwangi, J. H., Wang, N., Ingersoll, C. G., Hardesty, D. K., Brunson, E. L., Li, H., Deng, B.",Toxicity of carbon nanotubes to freshwater aquatic invertebrates,Environmental Toxicology and Chemistry,8,,1823,1830,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWCNT,308068-56-6,Helix Material Solutions,rods,no,,,"Fe (10%), Co (2.5%), Mo (0.6%), Ni (0.5%)",,,well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3),SEM,48 +/-11,,,oligochaete,Lumbriculus variegatus,"well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3), some sand in the vessel",14 d,23 °C,16-h/8-h light/dark cycle,survival ,EC90,1 mg/mL,,,CNTs were covering the surface of organisms; also were ingested,"Mwangi, J. H., Wang, N., Ingersoll, C. G., Hardesty, D. K., Brunson, E. L., Li, H., Deng, B.",Toxicity of carbon nanotubes to freshwater aquatic invertebrates,Environmental Toxicology and Chemistry,8,,1823,1830,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWCNT,308068-56-6,Helix Material Solutions,rods,no,,,"Fe (10%), Co (2.5%), Mo (0.6%), Ni (0.5%)",,,well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3),SEM,48 +/-11,,,mussel,Villosa iris,"well water (hardness ca 100 mg/L of CaCO3; alkalinity 80 mg/L CaCO3), some sand in the vessel",14 d,23 °C,16-h/8-h light/dark cycle,survival ,EC43,1 mg/mL,,,CNTs were covering the surface of organisms; also were ingested,"Mwangi, J. H., Wang, N., Ingersoll, C. G., Hardesty, D. K., Brunson, E. L., Li, H., Deng, B.",Toxicity of carbon nanotubes to freshwater aquatic invertebrates,Environmental Toxicology and Chemistry,8,,1823,1830,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWCNT,308068-56-6,Sigma-Aldrich,rods,,40-70,500-2000,,,,Rice germination buffer+ Nordic NOM (100 mg/L)  (used as dispergant),DLS,239.7,,,plant,rice,Rice germination buffer,2 weeks exposure to NPs in media + transfer to no NPs containing soil,25 °C,,effect on seed setting,EC10,400 mg/L,,,MWCNT were not translocated from seeds to the plant. Only sorbing onto the surface of the roots and blocking water uptake,"Sijie Lin, Jason Reppert, Qian Hu, JoAn S. Hudson, Michelle L. Reid, Tatsiana A. Ratnikova, Apparao M. Rao, Hong Luo, Pu Chun Ke","Uptake, Translocation, and Transmission of Carbon Nanomaterials in Rice Plants",Small,5,10,1128,1132,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWCNT,308068-56-6,Sigma-Aldrich,rods,,40-70,500-2000,,,,Rice germination buffer+ Nordic NOM (100 mg/L)  (used as dispergant),DLS,239.7,,,plant,rice,Rice germination buffer,2 weeks exposure to NPs in media + transfer to no NPs containing soil,25 °C,,decrease in seed weight,EC11,400 mg/L,,,MWCNT were not translocated from seeds to the plant. Only sorbing onto the surface of the roots and blocking water uptake,"Sijie Lin, Jason Reppert, Qian Hu, JoAn S. Hudson, Michelle L. Reid, Tatsiana A. Ratnikova, Apparao M. Rao, Hong Luo, Pu Chun Ke","Uptake, Translocation, and Transmission of Carbon Nanomaterials in Rice Plants",Small,5,10,1128,1132,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWCNT,308068-56-6,Sigma-Aldrich,rods,,40-70,500-2000,,,,Rice germination buffer+ Nordic NOM (100 mg/L)  (used as dispergant),DLS,239.7,,,plant,rice,Rice germination buffer,2 weeks exposure to NPs in media + transfer to no NPs containing soil,25 °C,,translocation of MWCNT to stems and leaves,NOEC,800 mg/L,,,MWCNT were not translocated from seeds to the plant. Only sorbing onto the surface of the roots and blocking water uptake,"Sijie Lin, Jason Reppert, Qian Hu, JoAn S. Hudson, Michelle L. Reid, Tatsiana A. Ratnikova, Apparao M. Rao, Hong Luo, Pu Chun Ke","Uptake, Translocation, and Transmission of Carbon Nanomaterials in Rice Plants",Small,5,10,1128,1132,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWCNT,308068-56-6,in-house synthesized,rods,,,,metal contaminants,,,30 g/L seawater,,,,,meiobenthic copoepod,Amphiascus tenuiremis,30 g/L seawater,35 days,25 °C,,Mortality ,LC50,>10 mg/L,,"SWNTs maybe caused mechanical disruption of feeding appendages, penetrated the gut wall, and/or active uptake followed by oxidative stress.",,"Templeton RC, Ferguson PL, Washburn KM, Scrivens WA, Chandler GT.",Life-cycle effects of single-walled carbon nanotubes (SWNTs) on an estuarine meiobenthic copepod,ENVIRONMENTAL SCIENCE & TECHNOLOGY,40,23,7387,7393,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWCNT,308068-56-6,in-house synthesized,rods,,,,metal contaminants,,,30 g/L seawater,,,,,meiobenthic copoepod,Amphiascus tenuiremis,30 g/L seawater,35 days,25 °C,,Development,EC34-51,10 mg/L,,"SWNTs maybe caused mechanical disruption of feeding appendages, penetrated the gut wall, and/or active uptake followed by oxidative stress.",,"Templeton RC, Ferguson PL, Washburn KM, Scrivens WA, Chandler GT.",Life-cycle effects of single-walled carbon nanotubes (SWNTs) on an estuarine meiobenthic copepod,ENVIRONMENTAL SCIENCE & TECHNOLOGY,40,23,7387,7393,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MWCNT,308068-56-6,in-house synthesized,rods,,25,50000,less than 5% impurities,,different kinds of NOM was added to MWCNTs. Only CNTs that were in solution were used in toxicity assay,Moderately hard water + Natural organic matter (NOM)  (used as dispergant),DLS,530-700,,-30 -20 mV,crustacean,Daphnia magna,Moderately hard water + NOM,96 h,static,,mortality,LC50,2-4 mg/L,different NOMs around MWCNTs resulted in different toxicological effects,,,"Edgington AJ, Roberts AP, Taylor LM, Alloy MM, Reppert J, Rao AR, Mao J, Klaine SJ",The influence of natural organic matter in the toxicity of multiwalled carbon nanotubes,Environmental Toxicology and Chemistry,29,11,2511,2518,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWCNT, 308068-56-6 ,Carbon Nanotechnologies Inc.,rods,,1.2,,,,purity 85%,"Moderately hard water (hardness 80 mg/L CaO3, pH 7.6, alkalinity 60 mg/L CaCO3)+lysophosphatidylcoline (LPC) 5mg/ml  (used as dispergant)",,was well dispersed (single tubes or max 5 tubes per bundle),,,crustacean,Daphnia magna,Moderately hard water + LPC,96 h,25 °C,,survival,LC50,10-20 mg/L,LPC on the surface of NTs served as food for daphnia. Crustaceans ate the LPC and sedimented the NTs during 24 h.,,SWNTs accumulated on the surface of the animals and prevented then to swin through the water column and induced precipitation of animals onto the bottom of the plates,"Roberts, A., Mount, A. S., Seda, B., Souther, J., Qiao, R., Lin, S., Ke, P. C., Rao, A., Klaine, S.",In vivo Biomodification of lipid-coated carbon nanotubes by Daphnia magna,Environmental Science & Technology,41,,3025,3029,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
